# Bright-star catalogue for hordewatch.astro: all Hipparcos stars with V <= 5.0 (1625 stars)
# Source: HYG database v4.1 (astronexus), https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
# HYG = Hipparcos + Yale Bright Star Catalog + Gliese; licence CC BY-SA 4.0 (http://creativecommons.org/licenses/by-sa/4.0/)
# ra_deg/dec_deg: ICRS/J2000, epoch J2000 (HYG ra hours x 15); pmra = mu_alpha* (mas/yr, x cos dec); vmag = V
# Generated by hordewatch.astro.stars.build_catalogue_from_hyg; sorted by vmag (row k = k-th brightest)
name,hip,ra_deg,dec_deg,pmra_mas_yr,pmdec_mas_yr,vmag
Aludra,35904,111.023760,-29.303104,-3.76,6.66,2.45
Alderamin,105199,319.644450,62.585573,149.91,48.27,2.45
Markeb,45941,140.528430,-55.010668,-10.72,11.24,2.47
Aljanah,102488,311.552670,33.970256,356.16,330.28,2.48
Markab,113963,346.190220,15.205264,61.10,-42.56,2.49
13Zet Oph,81377,249.289740,-10.567090,13.07,25.44,2.54
Menkar,14135,45.569880,4.089734,-11.81,-78.76,2.54
Zet Cen,68002,208.885005,-47.288375,-57.14,-44.75,2.55
Zosma,54872,168.527070,20.523717,143.31,-130.43,2.56
Acrab,78820,241.359300,-19.805453,-6.75,-24.89,2.56
Gienah,59803,183.951555,-17.541929,-159.58,22.31,2.58
Del Cen,59196,182.089650,-50.722425,-47.53,-6.42,2.58
Arneb,25985,83.182560,-17.822289,3.27,1.54,2.58
Ascella,93506,285.652980,-29.880105,-14.10,3.66,2.60
Zubeneschamali,74785,229.251735,-9.382917,-96.39,-20.76,2.61
Unukalhai,77070,236.066970,6.425627,134.66,44.14,2.63
Sheratan,8903,28.660020,20.808035,96.32,-108.80,2.64
Mahasim,28380,89.930265,37.212585,42.09,-73.61,2.65
Phact,26634,84.912255,-34.074108,-0.10,-24.05,2.65
Kraz,61359,188.596815,-23.396759,0.86,-56.00,2.65
Ruchbah,6686,21.453240,60.235283,297.24,-49.49,2.66
Muphrid,67927,208.671165,18.397717,-60.95,-358.10,2.68
Bet Lup,73273,224.633055,-43.133960,-34.06,-38.30,2.68
Hassaleh,23015,74.248410,33.166090,3.63,-18.54,2.69
Alp Mus,61585,189.296085,-69.135564,-39.87,-12.44,2.69
Mu Vel,52727,161.692320,-49.420255,62.55,-53.57,2.69
Lesath,85696,262.690980,-37.295811,-4.19,-29.14,2.70
Pi Pup,35264,109.285665,-37.097470,-10.57,7.00,2.71
Tarazed,97278,296.564910,10.613261,15.72,-3.08,2.72
Kaus Media,89931,275.248500,-29.828103,29.96,-26.38,2.72
Athebyne,80331,245.997900,61.514213,-16.98,56.68,2.73
Yed Prior,79593,243.586410,-3.694323,-45.83,-142.91,2.73
Porrima,61941,190.415175,-1.449375,-616.66,60.66,2.74
The Car,52419,160.739235,-64.394450,-18.87,12.06,2.74
Iot Cen,65109,200.149440,-36.712295,-340.76,-87.98,2.75
Hatysa,26241,83.858265,-5.909901,2.27,-0.62,2.75
Zubenelgenubi,72622,222.719655,-16.041778,-105.69,-69.00,2.75
Cebalrai,86742,265.868145,4.567303,-40.67,158.80,2.76
Rasalgethi,84345,258.661905,14.390333,-6.71,32.78,2.78
Cursa,23875,76.962435,-5.086446,-83.39,-75.44,2.78
Kornephoros,80816,247.555020,21.489613,-98.43,-14.49,2.78
Rastaban,85670,262.608195,52.301387,-15.59,11.57,2.79
Imai,59747,183.786405,-58.748928,-36.68,-10.72,2.79
Gam Lup,76297,233.785215,-41.166757,-16.05,-25.52,2.80
40Zet Her,81693,250.321695,31.602726,-462.58,345.05,2.81
Nihal,25606,82.061340,-20.759441,-5.03,-85.92,2.81
Bet Hyi,2021,6.418740,-77.254247,2220.12,324.37,2.82
Paikauhale,81266,248.970645,-28.216016,-8.59,-22.50,2.82
Kaus Borealis,90496,276.992685,-25.421700,-44.81,-186.29,2.82
Tureis,39757,121.886055,-24.304324,-83.29,46.38,2.83
Bet TrA,77952,238.786245,-63.430727,-188.45,-401.92,2.83
Algenib,1067,3.308970,15.183596,4.70,-8.24,2.83
Bet Ara,85258,261.324975,-55.529884,-8.23,-24.71,2.84
Alp Ara,85792,262.960425,-49.876145,-31.27,-67.15,2.84
44Zet Per,18246,58.533000,31.883635,4.41,-9.15,2.84
Deneb Algedi,107556,326.760165,-16.127286,263.26,-296.23,2.85
Vindemiatrix,63608,195.544170,10.959150,-275.05,19.96,2.85
Alcyone,17702,56.871150,24.105137,19.35,-43.11,2.85
Fawaris,97165,296.243610,45.130810,43.22,48.44,2.86
Alp Hyi,9236,29.691765,-61.569859,262.54,26.88,2.86
Gam TrA,74946,229.727715,-68.679545,-66.48,-32.00,2.87
Alp Tuc,110130,334.625565,-60.259587,-71.48,-38.15,2.87
Tejat,30343,95.740095,22.513586,56.84,-108.79,2.87
Albaldah,94141,287.440965,-21.023615,-1.17,-36.83,2.88
Acamar,13847,44.565345,-40.304672,-53.53,25.71,2.88
Fang,78265,239.712975,-26.114105,-12.00,-25.71,2.89
Cor Caroli,63125,194.007105,38.318380,-233.43,54.98,2.89
Gomeisa,36188,111.787680,8.289315,-50.28,-38.45,2.89
Sadalsuud,106278,322.889730,-5.571172,22.79,-6.70,2.90
45Eps Per,18532,59.463450,40.010215,12.61,-24.06,2.90
Alniyat,80112,245.297145,-25.592796,-10.03,-18.03,2.90
23Gam Per,14328,46.199130,53.506440,0.50,-4.19,2.91
Ups Car,48002,146.775540,-65.072007,-11.55,4.97,2.92
Matar,112158,340.750560,30.221245,13.11,-26.11,2.93
Tau Pup,32768,102.483990,-50.614560,34.23,-65.85,2.94
Algorab,60965,187.466085,-16.515432,-209.97,-139.30,2.94
Sadalmelik,109074,331.445985,-0.319851,17.90,-9.93,2.95
Tianguan,26451,84.411195,21.142549,2.39,-18.04,2.97
Ras Elased Australis,47908,146.462820,23.774255,-46.09,-9.57,2.97
Zaurak,18543,59.507355,-13.508515,60.51,-111.34,2.97
Alnasl,88635,271.452045,-30.424091,-55.75,-181.53,2.98
46Gam Hya,64962,199.730385,-23.171512,68.41,-41.09,2.99
Iot1Sco,87073,266.896170,-40.126997,0.44,-6.40,2.99
Okab,93747,286.352535,13.863478,-7.04,-95.31,2.99
4Bet Tri,10064,32.385870,34.987297,148.78,-39.13,3.00
52Psi UMa,54539,167.415930,44.498487,-62.35,-27.38,3.00
Pherkad,75097,230.182245,71.834016,-18.03,17.68,3.00
Xamidimura,82514,252.967635,-38.047380,-8.84,-21.60,3.00
Aldhanab,108085,328.482120,-37.364852,95.88,-12.10,3.00
39Del Per,17358,55.731240,47.787551,23.83,-41.93,3.01
24Omi2CMa,33977,105.756135,-23.833291,-1.56,4.28,3.02
Furud,30122,95.078295,-30.063367,8.00,3.81,3.02
2Eps Crv,59316,182.531190,-22.619766,-71.52,10.55,3.02
Almaaz,23416,75.492225,43.823308,0.18,-2.31,3.03
Seginus,71075,218.019540,38.308253,-115.55,151.87,3.04
Bet Mus,62322,191.570190,-68.108119,-40.40,-10.32,3.04
Albireo,95947,292.680345,27.959681,-7.09,-5.63,3.05
Dabih,100345,305.252805,-14.781367,48.42,14.00,3.05
Tania Australis,50801,155.582325,41.499516,-80.47,34.10,3.06
Mebsuta,32246,100.983030,25.131124,-5.93,-12.81,3.06
Altais,94376,288.138375,67.661541,94.49,92.30,3.07
Eta Sgr,89642,274.406895,-36.761686,-129.27,-166.61,3.10
Lam Cen,56561,173.945445,-63.019841,-33.84,-6.87,3.11
16Zet Hya,43813,133.848450,5.945563,-99.76,14.65,3.11
Nu Hya,52943,162.406185,-16.193648,92.77,199.02,3.11
Alp Ind,101772,309.391740,-47.291502,49.20,66.07,3.11
Zet Ara,83081,254.655090,-55.990141,-18.31,-35.29,3.12
Sarin,84379,258.757965,24.839204,-21.14,-157.68,3.12
Talitha,44127,134.802420,48.041826,-441.12,-215.21,3.12
Wazn,27628,87.739935,-35.768309,55.74,404.68,3.12
Kap Cen,73334,224.790375,-42.104194,-17.76,-21.33,3.13
40Alp Lyn,45860,140.263875,34.392562,-222.80,14.78,3.14
HIP 46701,46701,142.805565,-57.034377,-32.58,6.08,3.16
67Pi Her,84380,258.761820,36.809162,-27.35,2.70,3.16
Nu Pup,31685,99.440295,-43.195934,-0.43,-3.99,3.17
25The UMa,46853,143.215725,51.677300,-947.06,-535.60,3.17
27Phi Sgr,92041,281.414100,-26.990778,51.15,0.45,3.17
Aldhibah,83895,257.196720,65.714683,-20.76,19.15,3.17
Haedus,23767,76.628700,41.234474,30.60,-68.41,3.18
Alp Cir,71908,220.627380,-64.975138,-192.64,-234.07,3.18
Tabit,22449,72.460035,6.961276,463.44,11.62,3.19
Fuyue,87261,267.464475,-37.043304,42.09,27.77,3.19
27Kap Oph,83000,254.417085,9.375033,-293.03,-9.70,3.19
2Eps Lep,23685,76.365270,-22.371032,19.27,-72.35,3.19
64Zet Cyg,104732,318.234105,30.226916,6.87,-68.12,3.21
Errai,116727,354.837300,77.632276,-48.85,127.18,3.21
Del Lup,75141,230.343015,-40.647518,-19.11,-24.05,3.22
58Eta Ser,89962,275.327505,-2.898825,-547.57,-700.72,3.23
Yed Posterior,79882,244.580370,-4.692511,82.39,40.08,3.23
Alfirk,106032,322.164930,70.560716,12.60,8.73,3.23
65The Aql,99473,302.826195,-0.821461,35.48,6.05,3.24
Alp Pic,32607,102.047910,-61.941391,-68.39,242.03,3.24
49Pi Hya,68895,211.592895,-26.682361,43.05,-140.82,3.25
Sulafat,93194,284.735925,32.689557,-2.76,1.77,3.25
Brachium,73714,226.017585,-25.281965,-71.85,-44.69,3.25
Sig Pup,36377,112.307685,-43.301432,-59.86,188.73,3.25
Gam Hyi,17678,56.809425,-74.238962,51.07,115.27,3.26
Skat,113136,343.662555,-15.820820,-44.08,-24.81,3.27
31Del And,3092,9.831930,30.861024,115.38,-83.05,3.27
42The Oph,84970,260.502405,-24.999545,-8.84,-23.64,3.27
5Mu Lep,24305,78.232920,-16.205468,45.66,-16.13,3.29
Edasich,75458,231.232410,58.966065,-8.27,17.30,3.29
Ome Car,50099,153.434415,-70.037903,-35.73,7.55,3.29
Alp Dor,21281,68.498970,-55.044975,58.06,12.73,3.30
HIP 51576,51576,158.006145,-61.685332,-16.59,11.42,3.30
Propus,29655,93.719415,22.506799,-62.53,-10.24,3.31
Gam Ara,85267,261.348585,-56.377727,-0.77,-15.85,3.31
Bet Phe,5165,16.521105,-46.718414,-70.16,31.60,3.32
Eta Sco,84143,258.038280,-43.239189,22.01,-287.41,3.32
40Tau Sgr,93864,286.735050,-27.670423,-50.79,-250.51,3.32
25Rho Per,14354,46.294050,38.840274,128.69,-106.61,3.32
64Nu Oph,88048,269.756625,-9.773632,-10.31,-116.12,3.32
Megrez,59774,183.856290,57.032617,103.56,7.81,3.32
Alp Ret,19780,63.606060,-62.473858,41.64,49.72,3.33
Chertan,54879,168.560025,15.429570,-59.01,-79.37,3.33
Azmidi,38170,117.323565,-24.859786,-5.56,-0.71,3.34
28Eta Ori,25281,81.119235,-2.397146,-0.54,-3.21,3.35
Alzirr,32362,101.322360,12.895591,-115.16,-190.91,3.35
Segin,8886,28.598760,63.670101,31.98,-18.66,3.35
Muscida,41704,127.566465,60.718169,-134.31,-107.73,3.35
30Del Aql,95501,291.374580,3.114775,253.06,80.67,3.36
Eps Lup,75264,230.670315,-44.689622,-20.25,-20.13,3.37
Heze,66249,203.673300,-0.595820,-278.89,48.56,3.38
Ashlesha,43109,131.693805,6.418809,-231.04,-40.17,3.38
HIP 50371,50371,154.270800,-61.332304,-24.25,6.38,3.39
21Zet Cep,109492,332.713620,58.201261,13.35,4.49,3.39
Meissa,26207,83.784495,9.934158,-1.03,-1.86,3.39
Minelauva,63090,193.900875,3.397470,-471.44,-52.81,3.39
Chamukuy,20894,67.165575,15.870883,108.66,-26.39,3.40
35Lam Tau,18724,60.170070,12.490347,-8.15,-11.98,3.41
Zet Lup,74395,228.071400,-52.099247,-113.94,-71.00,3.41
Homam,112029,340.365495,10.831364,77.38,-10.98,3.41
Gam Phe,6867,22.091385,-43.318234,-18.21,-207.71,3.41
Nu Cen,67464,207.376170,-41.687709,-26.01,-20.38,3.41
3Eta Cep,102422,311.322165,61.838782,86.08,817.89,3.41
86Mu Her,86974,266.614785,27.720676,-291.42,-750.00,3.42
Eta Lup,78384,240.030540,-38.396706,-16.58,-27.06,3.42
Bet Pav,102395,311.239710,-66.203212,-42.40,10.57,3.42
Mothallah,8796,28.270440,29.578829,12.02,-233.69,3.42
Adhafera,50335,154.172565,23.417311,19.84,-7.30,3.43
HIP 45080,45080,137.742060,-58.966896,-17.67,14.14,3.43
16Lam Aql,93805,286.562250,-4.882554,-19.68,-90.37,3.43
Tania Borealis,50372,154.274280,42.914365,-170.11,-42.64,3.45
Chi Car,38827,119.194695,-52.982360,-28.38,16.76,3.46
31Eta Cet,5364,17.147460,-10.182264,215.81,-138.33,3.46
Achird,3821,12.273900,57.815187,1087.11,-559.65,3.46
49Del Boo,74666,228.875640,33.314833,84.84,-110.57,3.46
Kaffaljidhma,12706,40.825170,3.235818,-146.43,-145.27,3.47
Mu Cen,67472,207.404145,-42.473732,-23.85,-19.22,3.47
30Eta Leo,49583,151.833135,16.762664,-1.94,-0.53,3.48
44Eta Her,81833,250.723995,38.922254,35.58,-84.98,3.48
52Tau Cet,8102,26.017185,-15.937480,-1721.82,854.07,3.49
Eps Gru,112623,342.138585,-51.316864,108.47,-65.93,3.49
Nekkar,73555,225.486540,40.390566,-40.20,-29.22,3.49
Alp Tel,90422,276.743415,-45.968459,-16.68,-53.33,3.49
Nganurganity,33856,105.429780,-27.934830,-6.01,4.64,3.49
Alula Borealis,55219,169.619745,33.094306,-26.61,27.51,3.49
13Kap CMa,32759,102.460245,-32.508478,-9.18,4.04,3.50
32Iot Cep,112724,342.420300,66.200408,-66.10,-124.74,3.50
Wasat,35550,110.030745,21.982320,-18.72,-7.76,3.50
Sadalbari,112748,342.500775,24.601579,144.11,-43.44,3.51
12Gam Sge,98337,299.689275,19.492148,64.37,22.58,3.51
Rana,17378,55.812090,-9.763395,-91.71,742.23,3.52
Sheliak,92420,282.519975,33.362667,1.10,-4.46,3.52
Subra,47508,145.287645,9.892308,-143.67,-37.45,3.52
37Xi 2Sgr,93085,284.432505,-21.106654,34.91,-12.33,3.52
Biham,109427,332.549940,6.197865,281.96,31.23,3.52
Phi Vel,48774,149.215620,-54.567790,-13.13,2.83,3.52
Tarf,40526,124.128840,9.185545,-46.80,-48.65,3.53
Ain,20889,67.154145,19.180431,107.23,-36.77,3.53
55Xi Ser,86263,264.396675,-15.398557,-39.30,-61.27,3.54
Xi Hya,56343,173.250570,-31.857625,-209.09,-41.60,3.54
32Mu Ser,77516,237.405030,-3.430208,-98.07,-27.41,3.54
14Zet Lep,27288,86.738925,-14.821950,-14.84,-1.18,3.55
41Ups4Eri,20042,64.473555,-33.798348,62.31,-6.75,3.55
44Chi Dra,89937,275.261040,72.732843,531.08,-351.59,3.55
Iot Lup,69996,214.850940,-46.058093,-12.81,-3.79,3.55
Del Pav,99240,302.177355,-66.182068,1210.29,-1130.34,3.55
8Iot Cet,1562,4.856985,-8.823921,-14.37,-37.84,3.56
12Del Crt,55282,169.835205,-14.778541,-124.47,206.61,3.56
Pipirima,82545,253.083945,-38.017536,-12.92,-23.80,3.56
Phi Eri,10602,34.127310,-51.512165,90.75,-21.90,3.56
Alkaphrah,44471,135.906405,47.156525,-37.37,-55.39,3.57
25Rho Boo,71053,217.957500,30.371437,-100.44,120.22,3.57
Phi1Lup,75177,230.451600,-36.261376,-91.85,-86.03,3.57
77Kap Gem,37740,116.111895,24.397993,-22.45,-56.24,3.57
Algedi,100064,304.513560,-12.544852,61.78,2.85,3.58
54Lam Gem,35350,109.523250,16.540383,-46.09,-37.90,3.58
Zavijava,57757,177.673830,1.764718,740.96,-271.18,3.59
Nembus,7607,24.498075,48.628213,60.90,-112.42,3.59
Ginan,60260,185.340465,-60.401147,-171.06,91.82,3.59
20Tau Ori,24674,79.401630,-6.844409,-15.31,-9.57,3.59
13Gam Lep,27072,86.115855,-22.448382,-292.42,-368.45,3.59
45The Cet,6537,21.005850,-8.183257,-78.38,-206.88,3.60
HIP 42536,42536,130.073310,-52.921887,-24.62,35.09,3.60
34The Gem,33018,103.197240,33.961254,-2.66,-47.67,3.60
Del Ara,85727,262.774770,-60.683848,-53.65,-99.37,3.60
39Ups Lib,76470,234.256050,-28.135079,-13.26,-3.48,3.60
Psi Vel,46651,142.675110,-40.466769,-147.14,48.65,3.60
1Omi Tau,15900,51.203310,9.028870,-74.25,-80.31,3.61
Del Mus,63613,195.566385,-71.548855,263.58,-23.28,3.61
Eta Pav,86929,266.433315,-64.723871,-11.08,-56.37,3.61
Bharani,13209,42.495945,27.260507,65.47,-116.59,3.61
41Lam Hya,49841,152.647005,-12.354083,-200.33,-100.28,3.61
HIP 37819,37819,116.313735,-37.968584,-10.77,5.97,3.62
Atlas,17847,57.290595,24.053415,17.77,-44.70,3.62
Zet2Sco,82729,253.645965,-42.361313,-126.55,-227.77,3.62
1Omi And,113726,345.480255,42.325979,22.47,0.24,3.62
Alpherg,7097,22.870875,15.345823,25.73,-3.29,3.62
Lam Mus,57363,176.402115,-66.728763,-100.42,33.21,3.63
Rotanev,101769,309.387240,14.595087,118.28,-47.65,3.64
23 UMa,46733,142.881795,63.061861,107.55,26.86,3.65
The Ara,88714,271.657800,-50.091477,-8.43,-9.26,3.65
Prima Hyadum,20205,64.948335,15.627642,115.29,-23.86,3.65
28Bet Ser,77233,236.546895,15.421826,68.54,-41.31,3.65
55Zet1Aqr,110960,337.207965,-0.019972,191.32,37.47,3.65
Nusakan,75695,231.957270,29.105703,-181.39,86.84,3.66
40Tau Lib,76600,234.664050,-29.777754,-22.10,-26.54,3.66
Thuban,68756,211.097475,64.375850,-56.52,17.19,3.67
Bet Ind,103227,313.702470,-58.454155,21.06,-24.75,3.67
88 Aqr,114341,347.361645,-21.172410,55.99,31.25,3.68
3Pi 4Ori,22549,72.801510,5.605104,-3.62,1.03,3.68
Alp Pyx,42828,130.898085,-33.186385,-14.28,10.60,3.68
7Del Sge,97365,296.846925,18.534286,-4.58,11.10,3.68
Fulu,2920,9.242820,53.896909,17.77,-9.15,3.69
HIP 47854,47854,146.311755,-62.507903,-12.88,8.28,3.69
Chi Eri,9007,28.988460,-51.608896,681.24,284.23,3.69
Taiyangshou,57399,176.512725,47.779406,-138.38,28.37,3.69
Nashira,106985,325.022715,-16.662308,187.39,-22.33,3.69
Saclateni,23453,75.619515,41.075837,8.88,-21.43,3.69
16Tau4Eri,15474,49.879170,-21.757864,51.35,32.20,3.70
92Xi Her,87933,269.441160,29.247880,82.33,-18.73,3.70
6Gam Psc,114971,349.291410,3.282289,760.35,17.96,3.70
16Eta Lep,28103,89.101230,-14.167700,-42.23,139.02,3.71
72 Oph,88771,271.837440,9.563847,-61.60,79.71,3.71
8Pi 5Ori,22797,73.562895,2.440672,1.43,0.23,3.71
HIP 38414,38414,118.054320,-40.575786,-13.89,5.30,3.71
Alshain,98036,298.828305,6.406763,46.35,-481.32,3.71
37Eps Ser,77622,237.704025,4.477730,127.98,61.87,3.71
Ran,16537,53.232720,-9.458262,-976.44,17.97,3.72
33Del Aur,28358,89.881665,54.284656,86.31,-134.05,3.72
Electra,17499,56.218905,24.113339,21.55,-44.92,3.72
62Xi Cyg,104060,316.232760,43.927852,8.60,0.35,3.72
Nu Oct,107089,325.368795,-77.390046,64.83,-240.38,3.73
Grumium,87585,268.382010,56.872643,93.65,78.44,3.73
2Xi Tau,16083,51.792300,9.732680,53.61,-38.12,3.73
73Lam Aqr,112961,343.153650,-7.579599,19.51,32.71,3.73
109 Vir,72220,221.562180,1.892885,-116.04,-21.75,3.73
Baten Kaitos,8645,27.865140,-10.335038,38.78,-38.04,3.74
20Gam Her,80170,245.480070,19.153130,-47.44,44.61,3.74
65Tau Cyg,104887,318.697755,38.045317,195.74,410.02,3.74
62Gam Oph,87108,266.973165,2.707276,-23.15,-75.12,3.75
HIP 44511,44511,136.038720,-47.097737,-46.82,-9.57,3.75
39Omi Sgr,93683,286.170750,-21.741496,76.26,-58.08,3.76
10Iot2Cyg,95853,292.426470,51.729779,20.92,128.12,3.76
15Del Lep,27654,87.830355,-20.879089,228.96,-647.96,3.76
Bet Dor,26069,83.406315,-62.489825,1.06,12.56,3.76
11Bet Mon,30867,97.204455,-7.033062,-7.00,-4.97,3.76
7Alp Lac,111169,337.822725,50.282491,137.22,17.15,3.76
41Nu Per,17529,56.298480,42.578549,-14.59,1.75,3.77
Sualocin,101958,309.909525,15.912072,54.14,7.91,3.77
HIP 42570,42570,130.156545,-46.648744,-6.30,4.29,3.77
Eta Ara,82363,252.446400,-59.041378,39.59,-25.28,3.77
Secunda Hyadum,20455,65.733705,17.542514,107.75,-28.84,3.77
Bet Vol,41312,126.434265,-66.136890,-35.83,-152.15,3.77
Miram,13268,42.674175,55.895496,16.64,-13.76,3.77
24Iot Peg,109176,331.752705,25.345112,296.73,26.93,3.77
34Zet Cap,105881,321.666780,-22.411332,-2.61,18.88,3.77
48Sig Ori,26549,84.686535,-2.600069,4.61,-0.40,3.77
29Ups UMa,48319,147.748005,59.038735,-294.45,-151.75,3.78
Gam2Vol,34481,107.186820,-70.498932,23.71,108.06,3.78
30Zet Boo,71795,220.287300,13.728300,52.36,-12.71,3.78
